# wave,trans
6540,0.974069
6550,0.97304
6560,0.971989
6570,0.971052
6580,0.970358
6590,0.970508
6600,0.970813
6610,0.971584
6620,0.971873
6630,0.971909
6640,0.972299
6650,0.973103
6660,0.973526
6670,0.973505
6680,0.97417
6690,0.975203
6700,0.975752
6710,0.977077
6720,0.978582
6730,0.979469
6740,0.980248
6750,0.981669
6760,0.982198
6770,0.982336
6780,0.982983
6790,0.982915
6800,0.982446
6810,0.982625
6820,0.982105
6830,0.981602
6840,0.981593
6850,0.981138
6860,0.980572
6870,0.980443
6880,0.979982
6890,0.9793
6900,0.979264
6910,0.978657
6920,0.978207
6930,0.978276
6940,0.978081
6950,0.977889
6960,0.9784
6970,0.978246
6980,0.978233
6990,0.978687
7000,0.978386
7010,0.977416
7020,0.976735
7030,0.975402
7040,0.973536
7050,0.972444
7060,0.97154
7070,0.970173
7080,0.9698
7090,0.968213
7100,0.962838
7110,0.950857
7120,0.926371
7130,0.881563
7140,0.812818
7150,0.719055
7160,0.605892
7170,0.489152
7180,0.377003
7190,0.282239
7200,0.207776
7210,0.15093
7220,0.110085
7230,0.0805549
7240,0.0593874
7250,0.0444869
7260,0.0335691
7270,0.0257062
7280,0.0199148
7290,0.0155655
7300,0.0124001
7310,0.00992013
7320,0.00803875
7330,0.0065769
7340,0.00542627
7350,0.00452422
7360,0.00379009
7370,0.00320015
7380,0.00271919
7390,0.00231935
7400,0.00198796
7410,0.00170634
7420,0.00146816
7430,0.0012692
7440,0.00109437
7450,0.000943878
7460,0.000814465
7470,0.000700949
7480,0.000605028
7490,0.000521389
7500,0.000447838
7510,0.000385507
7520,0.000331445
7530,0.000286223
7540,0.000246839
7550,0.000212972
7560,0.000184624
7570,0.000160336
7580,0.000140314
7590,0.000122369
7600,0.00010735
7610,9.50219e-05
7620,8.44361e-05
7630,7.51275e-05
7640,6.74411e-05
7650,6.0872e-05
7660,5.4972e-05
7670,4.99102e-05
7680,4.58792e-05
7690,4.22809e-05
7700,3.89039e-05
7710,3.62757e-05
7720,3.39009e-05
7730,3.13029e-05
7740,2.98616e-05
7750,2.82569e-05
7760,2.67248e-05
7770,2.53221e-05
7780,2.41016e-05
7790,2.30924e-05
7800,2.18274e-05
7810,2.09956e-05
7820,1.99342e-05
7830,1.94406e-05
7840,1.84719e-05
7850,1.77343e-05
7860,1.67014e-05
7870,1.59613e-05
7880,1.53391e-05
7890,1.46308e-05
7900,1.36356e-05
7910,1.31819e-05
7920,1.2122e-05
7930,1.16679e-05
7940,1.08053e-05
7950,9.93946e-06
7960,9.43187e-06
7970,8.90621e-06
7980,8.26721e-06
7990,7.70205e-06
8000,6.94049e-06
8010,6.6338e-06
8020,6.44358e-06
8030,5.76921e-06
8040,5.62178e-06
8050,5.26546e-06
8060,4.92268e-06
8070,4.582e-06
8080,4.63794e-06
8090,4.29643e-06
8100,4.03115e-06
8110,4.11291e-06
8120,3.82569e-06
8130,3.88321e-06
8140,3.74136e-06
8150,3.78482e-06
8160,3.53267e-06
8170,3.68338e-06
8180,3.60274e-06
8190,3.56073e-06
8200,3.70767e-06
8210,3.73815e-06
8220,3.50904e-06
8230,3.67023e-06
8240,3.52457e-06
8250,3.77432e-06
8260,3.71655e-06
8270,3.82767e-06
8280,4.04181e-06
8290,4.05009e-06
8300,4.12951e-06
8310,4.08625e-06
8320,4.00912e-06
8330,4.14829e-06
8340,4.18368e-06
8350,4.07571e-06
8360,4.34247e-06
8370,4.04505e-06
8380,4.00607e-06
8390,3.60097e-06
8400,3.4325e-06
8410,3.12485e-06
8420,2.67726e-06
8430,2.18684e-06
8440,2.16344e-06
8450,1.65304e-06
8460,1.02031e-06
8470,1.37499e-06
8480,9.80062e-07
8490,1.44182e-06
8500,1.03964e-06
8510,1.42262e-06
8520,6.70333e-07
8530,3.07167e-07
8540,1.90928e-07
8550,9.31317e-07
8560,5.30333e-07
8570,5.21667e-07
8580,8.65353e-07
8590,-1.76967e-07
8600,3.01333e-07
8610,2.20333e-07
8620,5.03333e-07
8630,1.42033e-07
8640,3.042e-07
8650,6.51031e-07
8660,8.66333e-08
8670,3.33e-08
8680,6.26e-07
8690,1.65433e-07
8700,-2.106e-07
8710,5.79e-07
8720,-1e-07
8730,1.60767e-07
8740,1e-07
8750,2.30667e-07
8760,7.63333e-08
8770,5.31e-07
8780,2.56667e-07
8790,1.76333e-07
