NIGHT,EXPID,TILEID,TILERA,TILEDEC,MJD,SURVEY,FAPRGRM,FAFLAVOR,EXPTIME,EFFTIME_SPEC,GOALTIME,GOALTYPE,MINTFRAC,AIRMASS,EBV,SEEING_ETC,EFFTIME_ETC,TSNR2_ELG,TSNR2_QSO,TSNR2_LRG,TSNR2_LYA,TSNR2_BGS,TSNR2_GPBDARK,TSNR2_GPBBRIGHT,TSNR2_GPBBACKUP,ELG_EFFTIME_DARK,BGS_EFFTIME_BRIGHT,LYA_EFFTIME_DARK,GPB_EFFTIME_DARK,GPB_EFFTIME_BRIGHT,GPB_EFFTIME_BACKUP,TRANSPARENCY_GFA,SEEING_GFA,FIBER_FRACFLUX_GFA,FIBER_FRACFLUX_ELG_GFA,FIBER_FRACFLUX_BGS_GFA,FIBERFAC_GFA,FIBERFAC_ELG_GFA,FIBERFAC_BGS_GFA,AIRMASS_GFA,SKY_MAG_AB_GFA,SKY_MAG_G_SPEC,SKY_MAG_R_SPEC,SKY_MAG_Z_SPEC,EFFTIME_GFA,EFFTIME_DARK_GFA,EFFTIME_BRIGHT_GFA,EFFTIME_BACKUP_GFA
20210523,89876,20424,263.475,18.268,59358.40059754,main,bright,mainbright,823.101318359375,294.2176513671875,180.0,bright,0.85,1.046275019645691,0.06040376052260399,1.0471969842910767,182.32513427734375,42.751182556152344,9.63404369354248,24.565162658691406,15.927361235581339,2101.5546875,2578.6064453125,486.50244140625,4114.5380859375,367.6601867675781,294.2176513671875,182.2051585993869,223.2228240966797,255.5269775390625,301.55169677734375,1.0279318776954123,0.9644493696717892,0.6250637727893094,0.4446972062771533,0.2028804652186727,1.0731824820143951,1.0461546500168917,1.034666588101905,1.0518206491563151,19.500343554720644,19.404520574845698,19.59473101971842,19.230257617690203,248.91471424491291,208.7702851822862,248.91471424491291,403.26740777062383
20210523,89877,20428,263.837,21.588,59358.41201476,main,bright,mainbright,739.556396484375,296.4921569824219,180.0,bright,0.85,1.045570969581604,0.07521544396877289,0.9073910117149353,181.8174591064453,42.670616149902344,9.965845108032227,24.664817810058594,18.402250451315194,2117.801025390625,2749.563720703125,511.8644104003906,4402.81298828125,366.9673156738281,296.4921569824219,210.51729237967157,238.02210998535156,268.847900390625,322.6791687011719,1.0264582548177195,0.8307508731620203,0.7082810713870501,0.4960993697545997,0.22340641689442592,1.2318204343096764,1.1828592398082889,1.1560617739915413,1.0520020416961486,19.247905837302113,19.486729545570746,19.587615215942744,19.10921564005466,262.7372074245408,222.90413670046775,262.7372074245408,458.58680965782787
20210523,89878,20915,267.578,26.246,59358.42263129,main,bright,mainbright,644.3458862304688,270.61712646484375,180.0,bright,0.85,1.0326100587844849,0.07398499548435211,0.8289780020713806,181.8065185546875,37.61591339111328,8.97724437713623,22.296714782714844,19.617383263539523,1932.9794921875,2610.7236328125,483.54071044921875,4087.455078125,323.4968566894531,270.61712646484375,224.41811772643666,226.00311279296875,253.97137451171875,299.5668029785156,1.0324777016834203,0.8668665003789353,0.6909105646654421,0.48518138037301584,0.21897470246316336,1.2003609441399088,1.1545939567480787,1.1298311461384611,1.0378170237230178,19.468569561936103,19.688181949025353,19.76192842962837,19.179297364994362,247.8897533582712,213.04802777998484,247.8897533582712,413.11684831231173
20210523,89879,20909,268.03,29.569,59358.43203869,main,bright,mainbright,663.627197265625,267.3445129394531,180.0,bright,0.85,1.0390490293502808,0.05598178878426552,0.9078909754753113,180.36863708496094,36.574378967285156,8.251993179321289,21.84024429321289,18.038866611709818,1909.603759765625,2451.84814453125,464.06005859375,3675.94482421875,314.5396728515625,267.3445129394531,206.3602691823927,212.2497100830078,243.739501953125,269.4075012207031,1.01450176970808,0.9868550039088971,0.5984870553226775,0.428179743738569,0.19590241064836658,1.005660278566105,0.9881955353818952,0.982037727265822,1.0452732929658015,19.766900115231312,19.890701323265514,19.93660585656952,19.33978394417959,232.5106542018165,199.65226346647466,232.5106542018165,338.9154697968443
20210523,89880,20882,272.225,34.176,59358.44176945,main,bright,mainbright,1221.6827392578125,256.0428161621094,180.0,bright,0.85,1.0342719554901123,0.05867309123277664,1.5515429973602295,181.49900817871094,33.813350677490234,6.670507907867432,20.714426040649414,15.387659878935665,1828.8773193359375,2305.80126953125,454.8038635253906,3167.92431640625,290.7948303222656,256.0428161621094,176.0311056706288,199.60682678222656,238.8778533935547,232.17501831054688,0.9754476190877397,1.569110118952775,0.3445112631432017,0.2681553373922415,0.12935075850644479,0.5642045711793291,0.6028626515848166,0.6319797297560374,1.0450951657820833,20.265266352248556,20.41449457454735,20.293701976922804,19.42262518875754,230.67051365860618,193.78214090583285,230.67051365860618,217.2317792405996
20210523,89881,20836,311.72,-3.033,59358.45897351,main,bright,mainbright,494.2854309082031,174.4606170654297,180.0,bright,0.85,1.2698769569396973,0.04930178076028824,1.1540160179138184,184.7484588623047,20.546642303466797,4.869053840637207,13.690696716308594,12.03878825949505,1246.147216796875,1902.154541015625,357.4603271484375,2615.69580078125,176.7011260986328,174.4606170654297,137.72082466902557,164.66424560546875,187.74984741210938,191.7025604248047,1.026686004869283,1.149328720217763,0.5243119293247038,0.38327481264791463,0.17768679733045686,0.8834498344966256,0.8871142938942636,0.8929030280209744,1.264283834603507,20.73547312209113,21.00236720464135,20.675125419448797,19.35552305022441,214.24390574697586,194.0231231991682,214.24390574697586,245.69067699178967
20210523,89882,20847,312.354,3.688,59358.46668003,main,bright,mainbright,1266.891845703125,217.98341369628906,180.0,bright,0.85,1.1669460535049438,0.11715953052043915,1.0579869747161865,168.66160583496094,32.40871047973633,6.353729724884033,17.774906158447266,6.1918913820758466,1557.0244140625,2121.63720703125,413.21917724609375,3156.031005859375,278.7149353027344,217.98341369628906,70.83373916207458,183.6642608642578,217.0362091064453,231.30335998535156,1.0038501897887904,1.2993197403280363,0.4285144875774757,0.3213499040433274,0.15164753825714947,0.721059302579167,0.7451730924705485,0.7639701560091288,1.1561209616062538,19.79801034227281,19.153621307337968,19.785344367853124,19.23215599611304,182.57254725071596,153.58934113469658,182.57254725071596,215.62147592664357
20210528,90129,1578,184.543,-6.337,59363.1707133,main,dark,maindark,912.771728515625,276.3574523925781,1000.0,dark,0.85,1.3054840564727783,0.03653125837445259,0.42432400584220886,236.41563415527344,32.134586334228516,6.7928290367126465,23.51273536682129,17.31106159170158,2070.27392578125,3206.938232421875,621.9053955078125,3675.960205078125,276.3574523925781,289.8383483886719,198.0343558601166,277.6157531738281,326.64501953125,269.40863037109375,1.092650662942241,1.713818677653458,0.3133285481896239,0.249183355226207,0.12125358074136675,0.5699628355353908,0.6156534756429,0.6502743803770346,1.3171926023584395,20.922115816010585,21.960842652351413,21.023718435687186,18.838353458288072,265.98248182321515,265.98248182321515,299.5596269115502,234.02228574554618
20210528,90130,1578,184.543,-6.337,59363.18229748,main,dark,maindark,762.7743530273438,310.0567321777344,1000.0,dark,0.85,1.3317960500717163,0.03653125837445259,0.42432400584220886,269.7702941894531,36.05310821533203,8.032220840454102,26.556087493896484,20.649083352135495,2317.41748046875,3755.60888671875,710.3015747070312,4276.9482421875,310.0567321777344,324.4384460449219,236.2205171000181,325.1126708984375,373.0736083984375,313.4546203613281,1.0953683455652095,1.4687636812421847,0.38363223191902185,0.2950583111501114,0.1408922083492653,0.7010124875214591,0.7353999587898759,0.7632148194639854,1.3451606675568262,20.893695383602022,21.949648870856777,21.013918276116005,18.814230497108404,300.94655476124944,300.94655476124944,330.6098712927654,288.5860215601119
20210528,90131,1646,198.758,55.89,59363.19747921,main,dark,maindark,1101.99560546875,1116.0758056640625,1000.0,dark,0.85,1.0989810228347778,0.01924222894012928,0.5214490294456482,1014.05859375,129.7762451171875,32.455352783203125,94.19786071777344,101.68210074044764,7745.81005859375,14083.908203125,2403.607666015625,13621.7060546875,1116.0758056640625,1084.4134521484375,1163.2186285034597,1219.2049560546875,1262.4532470703125,998.3255615234375,1.0872985002507738,1.0927053365185802,0.5326494642862802,0.38727120726566105,0.17892128357938977,0.9634878720511004,0.9611010256387986,0.9651003950215759,1.1026959146576716,21.150088247104378,22.29149801282361,21.344758769783176,18.955602863232677,1149.8244560404003,1149.8244560404003,1090.6390327074687,998.3393219897838
20210528,90132,2162,210.224,34.737,59363.21276084,main,dark,maindark,468.9382019042969,404.1046447753906,1000.0,dark,0.85,1.0014899969100952,0.014445863664150238,0.61878901720047,433.1785888671875,46.98891067504883,12.099161148071289,33.07526397705078,36.06548621254042,2879.3974609375,4871.51953125,863.3275146484375,5599.64453125,404.1046447753906,403.1156311035156,412.58043552373033,421.7139587402344,453.44781494140625,410.3941345214844,1.1230694684269915,0.9657513457721424,0.5825502477259732,0.41726840386137115,0.19093493237418863,1.0709936864577443,1.0440569486632982,1.0328937320892162,1.0019406812439908,21.209051040846163,22.21544579294841,21.31919595204672,19.05000327451788,453.9213980934089,453.9213980934089,451.73623590975217,497.4347951269059
20210528,90133,1774,222.786,41.722,59363.22055452,main,dark,maindark,1160.256591796875,1109.9544677734375,1000.0,dark,0.85,1.0210659503936768,0.014474437572062016,0.6192489862442017,1010.1729736328125,129.06446838378906,32.66291809082031,87.77583312988281,125.00613390319049,7601.21630859375,12654.3662109375,2226.751953125,14234.5048828125,1109.9544677734375,1064.1702880859375,1430.039924180553,1095.4534912109375,1169.5628662109375,1043.2371826171875,1.0821585197596195,0.9759516058532272,0.6001108177519401,0.42771186299648434,0.1952128259013532,1.0328000244789965,1.013568729777285,1.0087081277926604,1.0178246515138931,20.820389289063225,21.49754292863094,20.896506928441966,18.992511729887248,1007.6341502394374,1007.6341502394374,1026.5160592879258,1121.9267208306628
